John|3|16|For God so loved the world that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
Proverbs|3|5-4|Trust in the Lord with all thine heart and lean not unto thine own understanding; in all thy ways acknowledge him, and he shall direct thy paths.
1 Nephi|3|7|And it came to pass that I, Nephi, said unto my father: I will go and do the things which the Lord hath commanded, for I know that the Lord giveth no commandments unto the children of men, save he shall prepare a way for them that they may accomplish the thing which he commandeth them.
Doctrine and Covenants|4|1|Now behold, a marvelous work is about to come forth among the children of men.
James|1|5|If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.
Isaiah|1|18|Come now, and let us reason together, saith the Lord: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
Alma|32|21|And now as I said concerning faith—faith is not to have a perfect knowledge of things; therefore if ye have faith ye hope for things which are not seen, which are true.

